Title,Description,Labels
[TASK] E6-T6 — Değerlendirme harness'i,Parent Epic: E6,task
E6-T6-1 — Rapor ve hata analizi,"Parent Task: E6-T6

Acceptance Criteria:
- Raporlar CI artifact
- Top-10 hata örnekleri

Test Steps:
- Seed veri raporu
- Kural güncelle sonrası tekrar ölç",todo
[EPIC] E7 — Kurallar (Mute/Önemli/Auto-Archive),See claude_code_plan.json (epic E7),epic
[TASK] E7-T1 — Rule engine,Parent Epic: E7,task
E7-T1-1 — Koşul-aksiyon & öncelik,"Parent Task: E7-T1

Acceptance Criteria:
- Çakışmada en yüksek öncelik
- Audit log

Test Steps:
- Çakışan kurallar testi
- Mute sonrası bildirim yok",todo
[TASK] E7-T2 — UI entegrasyonu,Parent Epic: E7,task
E7-T2-1 — Mesajdan kural oluşturma,"Parent Task: E7-T2

Acceptance Criteria:
- Butona basınca kural listede
- 10sn içinde undo

Test Steps:
- Sessize al → bildirim gelmesin
- Undo → bildirim gelsin",todo
[EPIC] E8 — Akıllı Bildirimler,See claude_code_plan.json (epic E8),epic
[TASK] E8-T1 — Push token yönetimi,Parent Epic: E8,task
E8-T1-1 — Token kayıt/yenileme,"Parent Task: E8-T1

Acceptance Criteria:
- Çoklu token
- Expired token cleanup

Test Steps:
- Token refresh
- Silinen token'a gönderim denemesi",todo
[TASK] E8-T2 — Zamanlama ve erteleme,Parent Epic: E8,task
E8-T2-1 — Planlayıcı işçisi,"Parent Task: E8-T2

Acceptance Criteria:
- T-24h & T-2h tetikler
- Duplicate tetik yok

Test Steps:
- Yakın due_at testi
- Çift ekleme bir kez tetikler",todo
[TASK] E8-T3 — Sessiz saatler ve özet mod,Parent Epic: E8,task
E8-T3-1 — Sessiz saatler,"Parent Task: E8-T3

Acceptance Criteria:
- Aralıkta push yok
- Bitişte tek özet

Test Steps:
- Aralıkta çok event → tek bildirim
- Aralık dışı normal",todo
E8-T3-2 — Günlük özet,"Parent Task: E8-T3

Acceptance Criteria:
- Tercih aktifse gönder
- Boşsa gönderilmez

Test Steps:
- Gün sonu özet
- Boş içerikte yok",todo
[EPIC] E9 — Maskeli Yanıt (Reply-via),See claude_code_plan.json (epic E9),epic
[TASK] E9-T1 — Yanıt oluşturma,Parent Epic: E9,task
E9-T1-1 — POST /v1/messages/:id/reply,"Parent Task: E9-T1

Acceptance Criteria:
- DMARC uyumlu teslim
- UI’da durum görünür

Test Steps:
- Karşı hesaba teslim
- Farklı kullanıcı 403",todo
[TASK] E9-T2 — Outbound SMTP ve imzalama,Parent Epic: E9,task
E9-T2-1 — SES gönderim ve oran sınırı,"Parent Task: E9-T2

Acceptance Criteria:
- Limitte kuyruğa park
- DKIM geçer

Test Steps:
- Yük testinde limit davranışı
- mail-tester DKIM",todo
[TASK] E9-T3 — Bounce/Complaint/Abuse,Parent Epic: E9,task
E9-T3-1 — SNS webhook entegrasyonu,"Parent Task: E9-T3

Acceptance Criteria:
- Hard bounce sonrası tekrar yok
- Complaint artışında oran düşürme

Test Steps:
- Bounce simülasyonu
- Complaint oranı artışı → throttling",todo
[EPIC] E10 — Web Uygulaması (Next.js),See claude_code_plan.json (epic E10),epic
[TASK] E10-T1 — Inbox ekranı,Parent Epic: E10,task
E10-T1-1 — Liste ve filtre UI,"Parent Task: E10-T1

Acceptance Criteria:
- 10k öğede akıcı scroll
- Debounce arama & filtre

Test Steps:
- Büyük veriyle scroll
- Filtre kombinasyonları",todo
[TASK] E10-T2 — Mesaj detay & olay kartları,Parent Epic: E10,task
E10-T2-1 — Detay görünümü,"Parent Task: E10-T2

Acceptance Criteria:
- XSS güvenliği
- Aksiyonlar geri bildirim verir

Test Steps:
- Zararlı içerik render güvenliği
- Aksiyon API çağrıları",todo
[EPIC] E11 — Mobil Uygulama (React Native – Expo),See claude_code_plan.json (epic E11),epic
[TASK] E11-T1 — Auth ve push token,Parent Epic: E11,task
E11-T1-1 — Login ekranı ve token gönderimi,"Parent Task: E11-T1

Acceptance Criteria:
- Login sonrası token backend’de
- Logout token siler

Test Steps:
- Login-logout döngüsü
- Test bildirimi alınır",todo
[TASK] E11-T2 — Inbox ve detay,Parent Epic: E11,task
E11-T2-1 — Liste/Detay navigasyonu,"Parent Task: E11-T2

Acceptance Criteria:
- 60fps’e yakın scroll
- Detay 500ms altı

Test Steps:
- Düşük cihaz simülasyonu
- Pull-to-refresh yeni mesaj",todo
[EPIC] E12 — Tarayıcı Eklentisi (Alias Auto-Fill),See claude_code_plan.json (epic E12),epic
[TASK] E12-T1 — Form algılama,Parent Epic: E12,task
E12-T1-1 — Content script ve buton yerleşimi,"Parent Task: E12-T1

Acceptance Criteria:
- Popüler sitelerde çakışma yok
- Buton alias tetikler

Test Steps:
- Top 20 sitede manuel test
- Hata durumunda sessiz düşme",todo
[TASK] E12-T2 — Alias API entegrasyonu,Parent Epic: E12,task
E12-T2-1 — POST /v1/aliases çağrısı,"Parent Task: E12-T2

Acceptance Criteria:
- Tekrar tık → yeni alias
- 429’da kullanıcı uyarısı

Test Steps:
- Art arda 5 tık → 5 alias
- 429 mesajı",todo
"[EPIC] E13 — Gizlilik, İzin & Veri Hakları",See claude_code_plan.json (epic E13),epic
[TASK] E13-T1 — Consent yönetimi,Parent Epic: E13,task
E13-T1-1 — Consent CRUD ve denetimi,"Parent Task: E13-T1

Acceptance Criteria:
- İzin yoksa işleme yok
- Revocation anında etkili

Test Steps:
- Consent off → 403
- Revocation sonrası veri dışı",todo
[TASK] E13-T2 — Veri ihracı (export),Parent Epic: E13,task
E13-T2-1 — GET /v1/me/export,"Parent Task: E13-T2

Acceptance Criteria:
- 24 saat içinde hazır
- Tek kullanımlık/süreli link

Test Steps:
- Küçük/büyük hesap export
- Expired link başarısız",todo
[TASK] E13-T3 — Hesap silme,Parent Epic: E13,task
E13-T3-1 — DELETE /v1/me,"Parent Task: E13-T3

Acceptance Criteria:
- Alias anında disable
- 30 gün içinde tüm veriler silinir

Test Steps:
- Silme sonrası alias’a mail düşmez
- 30 gün sonra 404",todo
"[EPIC] E14 — Telemetri, Loglama & Sağlık",See claude_code_plan.json (epic E14),epic
[TASK] E14-T1 — Health-check ve readiness,Parent Epic: E14,task
E14-T1-1 — /healthz ve /readiness,"Parent Task: E14-T1

Acceptance Criteria:
- /healthz 200
- Readiness false iken trafik alınmaz

Test Steps:
- DB kapalıyken readiness false
- K8s probe başarılı",todo
[TASK] E14-T2 — Metrikler ve dashboard,Parent Epic: E14,task
"E14-T2-1 — Ingest süresi, bildirim P95","Parent Task: E14-T2

Acceptance Criteria:
- P95 panellerde görünür
- Eşik aşımında alarm

Test Steps:
- Yük testi P95 artışı
- Eşik altına inince alarm sönümlenir",todo
[EPIC] E15 — Planlama & Ücretlendirme (MVP basit),See claude_code_plan.json (epic E15),epic
[TASK] E15-T1 — Feature flags,Parent Epic: E15,task
E15-T1-1 — Flag servis ve UI gizleme,"Parent Task: E15-T1

Acceptance Criteria:
- Free kullanıcı premium ekrana giremez
- Plan değişince flags anında

Test Steps:
- Upgrade → açılır
- Downgrade → kapanır",todo
[TASK] E15-T2 — Stripe entegrasyonu,Parent Epic: E15,task
E15-T2-1 — Abonelik başlat/iptal,"Parent Task: E15-T2

Acceptance Criteria:
- Ödeme sonrası plan=premium
- İptalde free’e düşer

Test Steps:
- Test kart ödeme
- İptal → plan değişimi",todo
[EPIC] E16 — SMS Alias (Premium),See claude_code_plan.json (epic E16),epic
[TASK] E16-T1 — Numara envanteri,Parent Epic: E16,task
E16-T1-1 — Numara satın alma ve havuz yönetimi,"Parent Task: E16-T1

Acceptance Criteria:
- Kullanıcı başına tek aktif numara
- Boşta kalan numaralar yeniden kullanılır

Test Steps:
- Tahsis → iptal → yeniden tahsis
- Havuz tükenince uygun hata",todo
[TASK] E16-T2 — Inbound SMS webhook,Parent Epic: E16,task
E16-T2-1 — Webhook doğrulama ve mesaj kaydı,"Parent Task: E16-T2

Acceptance Criteria:
- Yanlış imza 401
- Bilinmeyen numara 404/karantina

Test Steps:
- Geçersiz imza → 401
- Bilinmeyen numara → karantina",todo
[TASK] E16-T3 — Outbound SMS,Parent Epic: E16,task
E16-T3-1 — Gönderim ve oran kontrolü,"Parent Task: E16-T3

Acceptance Criteria:
- OTP P95 < 3s
- Abuse eşiğinde gönderim durur

Test Steps:
- Yük altında OTP latansı
- Abuse senaryosu blok",todo
[EPIC] E17 — B2B Gizlilik-Dostu Raporlama,See claude_code_plan.json (epic E17),epic
[TASK] E17-T1 — Agregasyon jobları,Parent Epic: E17,task
E17-T1-1 — Consent filtresi ile agregasyon,"Parent Task: E17-T1

Acceptance Criteria:
- Consent olmayan veri dahil edilmez
- Tarih/marka bazlı rapor erişimi

Test Steps:
- Consent off kullanıcı rapora girmez
- Örnek rapor şema doğrulama",todo
